fecha,pais,superficie,idprovincia,municipio,causa,causa_supuesta,time_ctrl,time_ext,personal,medios,tipo,predicted_cluster
2002-08-30,spain,1.0,"Coruña, A",FERROL,intencionado,1.0,124,145,18,3,conato,1
2003-09-27,spain,3.0,Badajoz,MEDELLÍN,intencionado,1.0,0,135,4,1,incendio,1
2013-09-02,spain,2.0,Cantabria,UDÍAS,intencionado,1.0,125,150,7,0,incendio,1
2005-08-15,spain,1.5,Asturias,GRADO,intencionado,0.0,181,186,8,2,incendio,1
2001-08-25,spain,1.0,Lugo,PORTOMARÍN,intencionado,1.0,95,305,33,17,conato,0
2005-02-12,spain,1.02,Salamanca,COLMENAR DE MONTEMAYOR,intencionado,1.0,95,125,1,0,incendio,1
2005-01-29,spain,3.0,Cáceres,CABEZUELA DEL VALLE,intencionado,1.0,80,130,10,3,incendio,1
2013-08-09,spain,2.99,Ourense,CUALEDRO,intencionado,1.0,86,155,18,3,incendio,1
2004-02-25,spain,2.0,"Coruña, A",CURTIS,intencionado,1.0,135,165,9,1,incendio,1
2015-04-13,spain,36.5,Navarra,BAZTAN,intencionado,1.0,317,1004,4,2,incendio,1
2001-09-20,spain,4.0,Ourense,VILARIÑO DE CONSO,intencionado,1.0,405,410,11,1,incendio,1
2005-02-13,spain,2.0,Zamora,ROBLEDA-CERVANTES,intencionado,0.0,120,180,10,0,incendio,1
2009-03-25,spain,1.0,Asturias,NAVA,desconocido,0.0,0,129,0,0,conato,1
2007-12-18,spain,3.5,Ourense,VIANA DO BOLO,intencionado,1.0,125,140,5,1,incendio,1
2008-01-27,spain,1.0,León,REYERO,accidente,1.0,0,511,3,0,conato,1
2006-03-26,spain,2.0,Asturias,PILOÑA,intencionado,0.0,95,120,5,1,incendio,1
2010-10-28,spain,1.0,Navarra,BARBARIN,intencionado,1.0,192,192,3,2,conato,1
2005-02-27,spain,2.0,Huesca,TAMARITE DE LITERA,accidente,1.0,48,73,7,2,incendio,1
2013-04-17,spain,1.5,Guadalajara,HERRERÍA,accidente,0.0,159,301,11,3,incendio,1
2013-09-24,spain,5.11,"Coruña, A",ARANGA,intencionado,1.0,187,757,22,3,incendio,1
2011-06-03,spain,1.52,Zaragoza,SAN MATEO DE GÁLLEGO,accidente,0.0,125,245,41,4,incendio,1
2001-02-26,spain,1.5,Burgos,ESPINOSA DE LOS MONTEROS,intencionado,1.0,0,1,0,0,incendio,1
2014-09-01,spain,12.21,Ourense,"BOLO, O",intencionado,1.0,179,490,84,17,incendio,0
2003-04-06,spain,1.5,"Coruña, A",ZAS,intencionado,1.0,65,90,6,2,incendio,1
2002-03-09,spain,2.0,Guadalajara,ATIENZA,intencionado,1.0,180,210,8,1,incendio,1
2011-09-12,spain,25.0,Ourense,"MEZQUITA, A",intencionado,1.0,372,715,54,6,incendio,1
2006-02-16,spain,3.0,Asturias,SALAS,desconocido,0.0,45,90,7,1,incendio,1
2007-05-09,spain,1.0,Asturias,BELMONTE DE MIRANDA,desconocido,0.0,0,90,5,1,conato,1
2009-04-10,spain,2.0,Cantabria,VEGA DE PAS,intencionado,1.0,0,360,0,0,incendio,1
2010-10-22,spain,2.36,Salamanca,CEPEDA,accidente,1.0,75,135,15,1,incendio,1
2001-07-22,spain,3.0,Ávila,NAVAS DEL MARQUES LAS,accidente,0.0,45,120,21,3,incendio,1
2002-03-22,spain,4.8,Lleida,COLL DE NARGÓ,intencionado,1.0,170,460,23,8,incendio,1
2009-03-12,spain,1.5,Asturias,LENA,intencionado,0.0,173,186,2,1,incendio,1
2012-03-10,spain,1.5,Asturias,SIERO,intencionado,0.0,0,95,3,1,incendio,1
2007-08-28,spain,1.6,Zaragoza,VAL DE SAN MARTÍN,rayo,0.0,145,235,15,2,incendio,1
2014-03-17,spain,2.13,Cáceres,VILLASBUENAS DE GATA,intencionado,1.0,420,1080,27,2,incendio,1
2001-06-05,spain,1.5,Huelva,SANTA OLALLA DEL CALA,desconocido,0.0,140,140,6,3,incendio,1
2011-03-22,spain,108.0,Ourense,"GUDIÑA, A",intencionado,1.0,470,497,42,8,incendio,1
2002-03-27,spain,2.0,Asturias,LLANES,desconocido,0.0,0,277,0,0,incendio,1
2004-10-07,spain,3.0,Salamanca,VEGUILLAS LAS,accidente,1.0,38,128,26,1,incendio,1
2005-01-30,spain,2.0,León,ENCINEDO,intencionado,1.0,0,390,0,0,incendio,1
2011-10-15,spain,8.47,"Coruña, A",VILASANTAR,intencionado,1.0,120,140,6,1,incendio,1
2007-01-18,spain,1.5,Cantabria,TUDANCA,intencionado,0.0,240,300,3,0,incendio,1
2003-09-18,spain,1.03,Madrid,VILLANUEVA DE LA CAÑADA,desconocido,0.0,52,138,35,8,incendio,1
2009-05-24,spain,1.05,León,MOLINASECA,rayo,0.0,0,60,1,0,incendio,1
2015-12-22,spain,18.0,Asturias,QUIRÓS,intencionado,0.0,1077,1211,23,4,incendio,1
2007-06-01,spain,3.0,Badajoz,NAVALVILLAR DE PELA,accidente,1.0,75,900,8,2,incendio,1
2015-11-02,spain,3.8,Cantabria,ARENAS DE IGUÑA,intencionado,0.0,0,250,0,0,incendio,1
2011-08-07,spain,1.06,Madrid,COLMENAR VIEJO,accidente,1.0,35,135,21,3,incendio,1
2009-07-05,spain,1.0,Sevilla,SANLÚCAR LA MAYOR,desconocido,0.0,294,299,38,2,conato,1
2002-09-01,spain,1.0,"Coruña, A","CORUÑA, A",intencionado,1.0,150,210,6,1,conato,1
2004-10-04,spain,3.5,Ourense,MANZANEDA,intencionado,1.0,87,158,10,1,incendio,1
